"State","Pop","HouseholdIncome"
"District of Columbia","684498","82604"
"Maryland","6003440","81868"
"New Jersey","8881840","79363"
"Hawaii","1422030","78084"
"Massachusetts","6830190","77378"
"Alaska","738516","76715"
"Connecticut","3581500","76106"
"New Hampshire","1343620","74057"
"Virginia","8413770","71564"
"California","39148800","71228"
"Washington","7294340","70116"
"Colorado","5531140","68811"
"Minnesota","5527360","68411"
"Utah","3045350","68374"
"Delaware","949495","65627"
"New York","19618500","65323"
"Illinois","12821500","63575"
"North Dakota","752201","63473"
"Rhode Island","1056610","63296"
"Wyoming","581836","62268"
"Vermont","624977","60076"
"Texas","27885200","59570"
"Pennsylvania","12791200","59445"
"Oregon","4081940","59393"
"Wisconsin","5778390","59209"
"Nebraska","1904760","59116"
"Iowa","3132500","58580"
"Nevada","2922850","57598"
"Kansas","2908780","57422"
"South Dakota","864289","56499"
"Arizona","6946680","56213"
"Georgia","10297500","55679"
"Maine","1332810","55425"
"Michigan","9957490","54938"
"Ohio","11641900","54533"
"Indiana","6637430","54325"
"Missouri","6090060","53560"
"Florida","20598100","53267"
"Idaho","1687810","53089"
"Montana","1041730","52559"
"North Carolina","10155600","52413"
"Oklahoma","3918140","51424"
"South Carolina","4955920","51015"
"Tennessee","6651090","50972"
"Alabama","4864680","48486"
"Kentucky","4440200","48392"
"New Mexico","2092430","48059"
"Louisiana","4663620","47942"
"Arkansas","2990670","45726"
"West Virginia","1829050","44921"
"Mississippi","2988760","43567"
"Puerto Rico","3386940","20166"
